phyto_class,Diatom,Diatom,Dinoflagellate,Dinoflagellate,Haptophyte,Haptophyte,Chlorophyte,Cryptophyte,Cryptophyte,Cyanophyte,Cyanophyte,NAP,CDOM
phyto_taxa,Skel,Sthal,Alex,Cerat,Luth,Parv,Dun,Rsal,Cfrag,Syma,Syn,BrnEarth,CDOM
wavelength,,,,,,,,,,,,,
400,,,,,,,,,,,,0.006065573770491791,0.017424882101953726
401,,,,,,,,,,,,0.006116352101749578,0.017488717718392072
402,,,,,,,,,,,,0.006167130433007364,0.017552553334830415
403,,,,,,,,,,,,0.006217908764265151,0.017616388951268762
404,,,,,,,,,,,,0.006268687095522937,0.01768022456770711
405,,,,,,,,,,,,0.00631946542678072,0.01774265855735774
406,,,,,,,,,,,,0.006370243758038506,0.01780420830787139
407,,,,,,,,,,,,0.006421022089296293,0.017865758058385035
408,,,,,,,,,,,,0.006471800420554079,0.017927307808898684
409,,,,,,,,,,,,0.006522578751811866,0.017988857559412333
410,3.69567918667043e-05,0.0002514235,0.0002237035,4.134785e-05,0.0004739285,0.000390718,4.75553640672124e-06,0.000163305,0.0017425499561403357,0.0004108625,9.88038262982083e-07,0.006573357083069652,0.01805040730992598
411,3.69157723806834e-05,0.000250562,0.0002229615,4.14548e-05,0.000472968,0.0003891885,4.74541146057734e-06,0.000162339,0.001730773394736828,0.0004081125,9.68135438809596e-07,0.006624135414327438,0.01811195706043963
412,3.68629624399887e-05,0.0002494925,0.0002220135,4.16042e-05,0.0004717515,0.000387259,4.73235674278328e-06,0.000161149,0.0017189968333333203,0.0004046925,9.42997266929851e-07,0.006697522778659336,0.01817350681095328
413,3.67981502400452e-05,0.0002482245,0.0002208605,4.17987e-05,0.0004702835,0.000384936,4.71628608358466e-06,0.000159749,0.0017072202719298126,0.0004006385,9.12717886425752e-07,0.006780577344055551,0.018235056561466928
414,3.67207709686529e-05,0.0002467765,0.0002195195,4.20477e-05,0.000468576,0.00038224,4.69765187419216e-06,0.000158153,0.0016954437105263058,0.000395984,8.77604008502885e-07,0.006863631909451766,0.018296606311980577
415,3.66294831968371e-05,0.000245193,0.00021803,4.23748e-05,0.0004666565,0.000379209,4.67757432141319e-06,0.0001563895,0.0016836671491227981,0.0003907875,8.38234740358336e-07,0.006946686474847988,0.018358156062494226
416,3.65238633154476e-05,0.0002435015,0.0002164155,4.279535e-05,0.000464542,0.0003758675,4.65674278328307e-06,0.000154476,0.0016718905877192904,0.0003850855,7.94979957485575e-07,0.007029741040244203,0.01841970581300787
417,3.64041937305846e-05,0.0002417025,0.000214677,4.331105e-05,0.000462233,0.000372221,4.63517880224041e-06,0.000152414,0.0016601140263157836,0.000378887,7.47913452778621e-07,0.007112795605640418,0.018494928351978187
418,3.62771109855973e-05,0.000239889,0.0002129235,4.38835e-05,0.0004598865,0.000368511,4.6138087031452e-06,0.000150345,0.00165034483333333,0.0003726695,6.9939447312481e-07,0.00719585017103664,0.018578261685311525
419,3.61493222253601e-05,0.0002381505,0.0002112625,4.44709e-05,0.0004576605,0.000364977,4.59349418354158e-06,0.000148408,0.0016437638137254853,0.000366903,6.5164895232311e-07,0.007278904736432855,0.01866159501864487
420,3.60208274498729e-05,0.0002364815,0.000209693,4.50707e-05,0.000455556,0.0003616175,4.57414907367514e-06,0.0001465985,0.0016371827941176406,0.000361578,6.0454023686608e-07,0.00736195930182907,0.018744928351978215
421,3.58926856820107e-05,0.000234866,0.0002082145,4.568135e-05,0.0004535685,0.000358435,4.55601034037053e-06,0.0001448935,0.0016306017745097963,0.0003566545,5.58143638020043e-07,0.007445013867225285,0.01882826168531156
422,3.57668031629483e-05,0.000233243,0.0002068185,4.6311e-05,0.000451687,0.0003554445,4.53961654459285e-06,0.000143241,0.0016240207549019516,0.0003521205,5.1357151533556e-07,0.007528068432621507,0.018911595018644905
423,3.56434622987857e-05,0.000231567,0.0002054965,4.696955e-05,0.0004499025,0.000352655,4.52520465316674e-06,0.0001416095,0.0016174397352941069,0.000347989,4.71773762526572e-07,0.007611122998017722,0.018994928351978243
424,3.55225924879978e-05,0.000229823,0.0002042325,4.76485e-05,0.0004482025,0.000350049,4.51227919000431e-06,0.0001399885,0.0016108587156862622,0.0003442285,4.32451260249013e-07,0.007694177563413937,0.019078261685311588
425,3.54058175656594e-05,0.0002279725,0.000202976,4.832185e-05,0.0004465655,0.000347597,4.49991383024558e-06,0.000138352,0.001603539692982439,0.0003407875,3.95152748253872e-07,0.007785050561737165,0.019161595018644933
426,3.52956085851454e-05,0.0002260035,0.0002016455,4.89579e-05,0.0004449965,0.00034531,4.48843171046963e-06,0.0001366835,0.0015917631315789322,0.000337654,3.60093531733981e-07,0.007877084794785216,0.019244928351978278
427,3.51930245693307e-05,0.0002239285,0.000200196,4.95415e-05,0.0004435115,0.000343211,4.47860835846618e-06,0.0001349825,0.0015799865701754245,0.0003348395,3.27658062556939e-07,0.007969119027833267,0.01932435054389462
428,3.50961592770404e-05,0.000221781,0.0001986275,5.009495e-05,0.00044209,0.0003412675,4.47070228349849e-06,0.0001332535,0.0015682100087719168,0.000332278,2.98290920133617e-07,0.008061153260881318,0.019402743067259094
429,3.50046597006495e-05,0.0002196115,0.000196961,5.064775e-05,0.000440725,0.000339459,4.46525204653167e-06,0.000131513,0.00155643344736841,0.0003299135,2.72660188278166e-07,0.008153187493929376,0.019481135590623568
430,3.49224795255578e-05,0.000217474,0.0001952695,5.12155e-05,0.000439468,0.000337824,4.46279620853081e-06,0.0001298005,0.0015446568859649023,0.0003277815,2.51240813847555e-07,0.008245221726977427,0.01955952811398804
431,3.48488421349901e-05,0.0002154065,0.0001936025,5.180565e-05,0.0004383555,0.0003363835,4.4632701421801e-06,0.000128145,0.0015328803245613946,0.0003259045,2.3405891284543e-07,0.008337255960025478,0.019637920637352514
432,3.4779935046597e-05,0.00021345,0.000191968,5.240485e-05,0.0004373895,0.000335116,4.46613528651443e-06,0.000126568,0.0015211037631578878,0.0003242275,2.19805344670513e-07,0.008429290193073528,0.019716313160716988
433,3.47238068342276e-05,0.0002117145,0.0001903965,5.302735e-05,0.0004366445,0.0003340565,4.47221025420078e-06,0.000125123,0.0015098625,0.000322754,2.08551169146675e-07,0.00852132442612158,0.01979470568408146
434,3.46938011861056e-05,0.0002103195,0.0001889245,5.371755e-05,0.0004362385,0.000333285,4.48306764325722e-06,0.0001238665,0.0015098625,0.0003215695,2.02146674764652e-07,0.008613358659169637,0.019873098207445934
435,3.46933775769557e-05,0.000209309,0.0001875775,5.44989e-05,0.0004362145,0.0003328245,4.49900904782421e-06,0.0001228205,0.0015098625,0.000320703,2.01187670816884e-07,0.008705331534649096,0.019951490730810408
436,3.47209827732279e-05,0.000208681,0.0001864205,5.53959e-05,0.0004365635,0.0003326475,4.51908660060319e-06,0.0001219925,0.0015098625,0.0003201395,2.05307622228971e-07,0.008797030997976473,0.02003131128277236
437,3.47841711380966e-05,0.000208551,0.0001855675,5.646495e-05,0.0004373735,0.000332812,4.54325721671693e-06,0.000121463,0.0015098625,0.000319957,2.16000303674461e-07,0.008888730461303843,0.020113449943171897
438,3.48916266591358e-05,0.000209036,0.0001850785,5.774795e-05,0.0004387415,0.0003333975,4.5723395088324e-06,0.000121305,0.0015098625,0.000320246,2.35134527786213e-07,0.008980429924631213,0.020195588603571433
439,3.50425727195708e-05,0.0002101275,0.00018493,5.92513e-05,0.0004406605,0.0003343925,4.60626884963378e-06,0.000121508,0.0015098625,0.0003209965,2.62803826298208e-07,0.00907212938795859,0.020313678432530853
440,3.52322084157018e-05,0.0002117915,0.0001850505,6.097165e-05,0.00044309,0.000335756,4.64463593278759e-06,0.0001220395,0.0015190002083333458,0.0003221885,2.98884907379289e-07,0.00916382885128596,0.020488603357455816
441,3.5460463146004e-05,0.0002140445,0.000185399,6.290585e-05,0.00044603,0.000337474,4.68808703145196e-06,0.0001228985,0.001532984875000011,0.000323903,3.44116307318554e-07,0.009255528314613331,0.02066352828238078
442,3.57310081897769e-05,0.0002169335,0.000185982,6.50611e-05,0.0004495155,0.0003395625,4.73752692804826e-06,0.0001241085,0.0015469695416666764,0.0003262365,3.99528697236562e-07,0.009347227777940701,0.020838453207305756
443,3.60369245975713e-05,0.000220402,0.000186778,6.74232e-05,0.0004534875,0.0003419755,4.79220163722533e-06,0.00012564,0.0015609542083333426,0.000329153,4.64439113270574e-07,0.009438927241268078,0.02101337813223072
444,3.63669161253883e-05,0.000224341,0.0001877505,6.99596e-05,0.000457838,0.00034463,4.85084015510556e-06,0.000127436,0.0015776801875000118,0.000332582,5.37457333738233e-07,0.009530626704595448,0.02114250337512063
445,3.6719994351878e-05,0.0002286865,0.0001888725,7.265685e-05,0.000462513,0.0003474465,4.9133132270573e-06,0.000129445,0.0015986571875000136,0.0003365055,6.18351655025812e-07,0.009621197343847282,0.02125215043394415
446,3.70981361197402e-05,0.0002334145,0.0001901255,7.551535e-05,0.0004674965,0.000350371,4.97987936234382e-06,0.0001316335,0.0016196341875000155,0.000340932,7.07416641360462e-07,0.009709678356505505,0.021361797492767676
447,3.74914572154759e-05,0.000238412,0.000191441,7.85066e-05,0.000472693,0.0003533165,5.04978457561396e-06,0.000133923,0.0016406111875000157,0.000345784,8.03155784998482e-07,0.009798159369163735,0.021471444551591196
448,3.7889720417961e-05,0.000243558,0.000192744,8.159435e-05,0.0004780015,0.000356195,5.12201637225334e-06,0.0001362275,0.0016615881875000175,0.000350964,9.03854236258731e-07,0.009886640381821965,0.021581091610414722
449,3.8290454673821e-05,0.0002487725,0.0001939785,8.4735e-05,0.0004833575,0.000358961,5.19556225764757e-06,0.0001384725,0.0016791209743589816,0.0003563465,1.00814303067112e-06,0.009975121394480188,0.02169073866923825
450,3.86937305845806e-05,0.00025398,0.0001950995,8.789155e-05,0.000488703,0.0003615795,5.26971133132271e-06,0.0001405915,0.001687726923076928,0.000361807,1.11480504099605e-06,0.010063602407138418,0.021822925585126107
451,3.91027958203897e-05,0.0002591395,0.000196098,9.106845e-05,0.000494009,0.000364044,5.3441404566997e-06,0.0001425575,0.0016963328717948746,0.0003672435,1.22334952930459e-06,0.010152083419796641,0.021963827179408674
452,3.95195566224231e-05,0.0002642125,0.00019697,9.42641e-05,0.0004992585,0.000366351,5.41841878500646e-06,0.000144339,0.0017049388205128213,0.000372558,1.33317643486183e-06,0.010240564432454871,0.02210472877369124
453,3.99440835922056e-05,0.00026918,0.0001977215,9.74474e-05,0.0005044865,0.000368522,5.49181387333046e-06,0.0001458925,0.0017135447692307676,0.0003776825,1.44347099908898e-06,0.010329045445113101,0.022245630367973793
454,4.03759531205874e-05,0.0002740295,0.0001983565,0.00010059155,0.000509722,0.0003705785,5.56363636363636e-06,0.0001471855,0.0017221507179487144,0.0003825585,1.55348921955664e-06,0.010417526457771324,0.02238653196225636
455,4.08131177633437e-05,0.000278786,0.0001988875,0.00010369795,0.00051498,0.0003725695,5.63358466178371e-06,0.000148245,0.001727843194444437,0.0003871755,1.66307014880049e-06,0.010506007470429554,0.02252743355653891
