phyto_class,Diatom,Dinoflagellate,Haptophyte,NAP,NAP,NAP,CDOM
phyto_taxa,Pseudo,Akash,Ehux,Bright_Sediment_Approximation,RedClayD,YellClayD,CDOM_approximation
400,NaN,NaN,NaN,0.0037,0.008963562,0.016329615,0.000234
401,NaN,NaN,NaN,0.003968443,0.00905303,0.016546471,0.000248713
402,NaN,NaN,NaN,0.004314739,0.009142498,0.016763328,0.000252143
403,NaN,NaN,NaN,0.004565292,0.009231966,0.016980184,0.000255574
404,NaN,NaN,NaN,0.004815844,0.009321434,0.01719704,0.000259004
405,NaN,NaN,NaN,0.004799521,0.009410902,0.017426332,0.000262434
406,NaN,NaN,NaN,0.004766421,0.009517092,0.017716373,0.00027388
407,NaN,NaN,NaN,0.00473332,0.009626739,0.018006415,0.000285326
408,NaN,NaN,NaN,0.004700219,0.009736386,0.018296456,0.000296772
409,NaN,NaN,NaN,0.004697344,0.009846033,0.018586498,0.000308218
410,0.001448858,1.89049E-05,0.000423253,0.004832791,0.00995568,0.018799712,0.000319664
411,0.001447015,1.8879E-05,0.000422062,0.004968238,0.010065327,0.019007219,0.000325665
412,0.001444365,1.88663E-05,0.000420588,0.005121375,0.010176921,0.019214725,0.000331666
413,0.001440827,1.88715E-05,0.000418845,0.005292773,0.010288863,0.019422231,0.000337667
414,0.0014365,1.88933E-05,0.000416842,0.00546417,0.010400806,0.019629738,0.000343668
415,0.001431614,1.89277E-05,0.000414591,0.005618543,0.010512748,0.019898413,0.000349669
416,0.00142631,1.89724E-05,0.000412101,0.005771529,0.01062469,0.02025858,0.000361848
417,0.001420594,1.90279E-05,0.000409375,0.005924516,0.010725029,0.020618746,0.000374027
418,0.001414698,1.9096E-05,0.000406571,0.006081175,0.010820913,0.020941729,0.000386206
419,0.00140884,1.91784E-05,0.000403843,0.006239958,0.010916798,0.021217796,0.000398385
420,0.001403013,1.92747E-05,0.00040119,0.006398741,0.011012683,0.021493862,0.000410564
421,0.001397365,1.93786E-05,0.000398589,0.006566254,0.011108568,0.021758049,0.00041468
422,0.001392104,1.94782E-05,0.000395974,0.006737822,0.011217653,0.022009002,0.000418796
423,0.001387277,1.95668E-05,0.000393299,0.006908769,0.011335777,0.022259955,0.000422911
424,0.001382774,1.96448E-05,0.00039056,0.007068846,0.011453901,0.022510908,0.000427027
425,0.001378383,1.97172E-05,0.00038775,0.007228924,0.011572025,0.02277073,0.000431143
426,0.001374076,1.97924E-05,0.000384868,0.007389873,0.011690149,0.023060771,0.000455717
427,0.001369931,0.000019875,0.000381917,0.007577315,0.011807915,0.023350813,0.000480292
428,0.001365931,1.99648E-05,0.000378915,0.007764758,0.011917562,0.023688782,0.000504866
429,0.001362127,2.00622E-05,0.000375886,0.007945037,0.012027209,0.024048948,0.000529441
